,agency_code,career_cluster,num_concentrators,Title I Served School,District Name
7536,330328,HLTH,5,1,Edgecombe County Public School
7537,330328,HUMA,5,1,Edgecombe County Public School
7588,330350,AGNR,20,0,Edgecombe County Public School
7589,330350,HLTH,15,0,Edgecombe County Public School
7590,330350,HUMA,45,0,Edgecombe County Public School
7591,330350,MANU,6,0,Edgecombe County Public School
7639,330358,BMA,15,0,Edgecombe County Public School
7640,330358,FINA,1,0,Edgecombe County Public School
7641,330358,HLTH,10,0,Edgecombe County Public School
7642,330358,HOSP,31,0,Edgecombe County Public School
7643,330358,HUMA,34,0,Edgecombe County Public School
7644,330358,INFO,5,0,Edgecombe County Public School
7679,33A000,AGNR,4,1,Charter Schools
7718,340311,AAVC,122,0,Forsyth County Schools
7719,340311,ARCH,1,0,Forsyth County Schools
7720,340311,HLTH,104,0,Forsyth County Schools
7721,340311,HUMA,13,0,Forsyth County Schools
7722,340311,INFO,12,0,Forsyth County Schools
7723,340311,STEM,96,0,Forsyth County Schools
7724,340311,TRAN,5,0,Forsyth County Schools
7765,340330,AAVC,1,1,Forsyth County Schools
7766,340330,ARCH,3,1,Forsyth County Schools
7767,340330,HLTH,2,1,Forsyth County Schools
7768,340330,HOSP,2,1,Forsyth County Schools
7769,340330,HUMA,13,1,Forsyth County Schools
7770,340330,INFO,11,1,Forsyth County Schools
7840,340364,AAVC,12,0,Forsyth County Schools
7841,340364,ARCH,20,0,Forsyth County Schools
7842,340364,HLTH,38,0,Forsyth County Schools
7843,340364,HOSP,20,0,Forsyth County Schools
7844,340364,HUMA,17,0,Forsyth County Schools
7845,340364,STEM,27,0,Forsyth County Schools
7846,340364,TRAN,4,0,Forsyth County Schools
7902,340382,AAVC,9,1,Forsyth County Schools
7903,340382,ARCH,7,1,Forsyth County Schools
7904,340382,HLTH,24,1,Forsyth County Schools
7905,340382,HOSP,20,1,Forsyth County Schools
7906,340382,HUMA,27,1,Forsyth County Schools
7907,340382,LAW,4,1,Forsyth County Schools
7908,340382,STEM,10,1,Forsyth County Schools
7909,340382,TRAN,2,1,Forsyth County Schools
7962,340454,AAVC,17,0,Forsyth County Schools
7963,340454,ARCH,19,0,Forsyth County Schools
7964,340454,FINA,2,0,Forsyth County Schools
7965,340454,HLTH,11,0,Forsyth County Schools
7966,340454,HOSP,26,0,Forsyth County Schools
7967,340454,HUMA,30,0,Forsyth County Schools
7968,340454,INFO,1,0,Forsyth County Schools
7969,340454,STEM,17,0,Forsyth County Schools
7970,340454,TRAN,8,0,Forsyth County Schools
8027,340460,AAVC,4,1,Forsyth County Schools
8028,340460,AGNR,17,1,Forsyth County Schools
8029,340460,BMA,4,1,Forsyth County Schools
8030,340460,HLTH,22,1,Forsyth County Schools
8031,340460,HOSP,8,1,Forsyth County Schools
8032,340460,HUMA,22,1,Forsyth County Schools
8033,340460,STEM,17,1,Forsyth County Schools
8034,340460,TRAN,2,1,Forsyth County Schools
8084,340486,AAVC,1,1,Forsyth County Schools
8085,340486,ARCH,3,1,Forsyth County Schools
8086,340486,HLTH,9,1,Forsyth County Schools
8087,340486,HOSP,6,1,Forsyth County Schools
8088,340486,HUMA,35,1,Forsyth County Schools
8089,340486,STEM,60,1,Forsyth County Schools
8090,340486,TRAN,3,1,Forsyth County Schools
8135,340488,AAVC,2,1,Forsyth County Schools
8136,340488,ARCH,35,1,Forsyth County Schools
8137,340488,HLTH,7,1,Forsyth County Schools
8138,340488,HUMA,11,1,Forsyth County Schools
8139,340488,TRAN,3,1,Forsyth County Schools
8197,340495,AAVC,10,0,Forsyth County Schools
8198,340495,AGNR,4,0,Forsyth County Schools
8199,340495,ARCH,28,0,Forsyth County Schools
8200,340495,BMA,3,0,Forsyth County Schools
8201,340495,FINA,8,0,Forsyth County Schools
8202,340495,HLTH,42,0,Forsyth County Schools
8203,340495,HOSP,10,0,Forsyth County Schools
8204,340495,HUMA,5,0,Forsyth County Schools
8205,340495,INFO,7,0,Forsyth County Schools
8206,340495,STEM,44,0,Forsyth County Schools
8207,340495,TRAN,14,0,Forsyth County Schools
8266,340496,AAVC,11,1,Forsyth County Schools
8267,340496,ARCH,15,1,Forsyth County Schools
8268,340496,BMA,2,1,Forsyth County Schools
8269,340496,FINA,1,1,Forsyth County Schools
8270,340496,HLTH,21,1,Forsyth County Schools
8271,340496,HOSP,28,1,Forsyth County Schools
8272,340496,HUMA,27,1,Forsyth County Schools
8273,340496,INFO,5,1,Forsyth County Schools
8274,340496,STEM,12,1,Forsyth County Schools
8275,340496,TRAN,6,1,Forsyth County Schools
8325,340542,AAVC,3,0,Forsyth County Schools
8326,340542,HLTH,40,0,Forsyth County Schools
8327,340542,HOSP,1,0,Forsyth County Schools
8328,340542,HUMA,20,0,Forsyth County Schools
8329,340542,INFO,1,0,Forsyth County Schools
8330,340542,LAW,9,0,Forsyth County Schools
8331,340542,STEM,6,0,Forsyth County Schools
8332,340542,TRAN,3,0,Forsyth County Schools
8389,340556,AAVC,19,0,Forsyth County Schools
8390,340556,ARCH,35,0,Forsyth County Schools
8391,340556,HLTH,28,0,Forsyth County Schools
8392,340556,HOSP,41,0,Forsyth County Schools
8393,340556,HUMA,51,0,Forsyth County Schools
8394,340556,INFO,4,0,Forsyth County Schools
8395,340556,STEM,27,0,Forsyth County Schools
8396,340556,TRAN,17,0,Forsyth County Schools
8433,340568,HLTH,2,1,Forsyth County Schools
8434,340568,HUMA,1,1,Forsyth County Schools
8495,350308,AAVC,11,0,Franklin County Schools
8496,350308,AGNR,8,0,Franklin County Schools
8497,350308,ARCH,27,0,Franklin County Schools
8498,350308,BMA,11,0,Franklin County Schools
8499,350308,HLTH,27,0,Franklin County Schools
8500,350308,HOSP,2,0,Franklin County Schools
8501,350308,HUMA,15,0,Franklin County Schools
8502,350308,LAW,16,0,Franklin County Schools
8556,350321,AAVC,18,0,Franklin County Schools
8557,350321,AGNR,30,0,Franklin County Schools
8558,350321,ARCH,26,0,Franklin County Schools
8559,350321,HOSP,23,0,Franklin County Schools
8560,350321,HUMA,2,0,Franklin County Schools
8561,350321,LAW,18,0,Franklin County Schools
8606,350336,AGNR,4,0,Franklin County Schools
8607,350336,ARCH,1,0,Franklin County Schools
8608,350336,HLTH,14,0,Franklin County Schools
8609,350336,HUMA,23,0,Franklin County Schools
8610,350336,LAW,12,0,Franklin County Schools
8611,350336,TRAN,10,0,Franklin County Schools
8659,360310,AAVC,34,0,Gaston County Schools
8660,360310,BMA,25,0,Gaston County Schools
8661,360310,FINA,10,0,Gaston County Schools
8662,360310,HLTH,12,0,Gaston County Schools
8663,360310,HOSP,6,0,Gaston County Schools
8664,360310,HUMA,47,0,Gaston County Schools
8665,360310,LAW,5,0,Gaston County Schools
8666,360310,MRKT,19,0,Gaston County Schools
8667,360310,TRAN,12,0,Gaston County Schools
8714,360336,AAVC,15,0,Gaston County Schools
8715,360336,ARCH,8,0,Gaston County Schools
8716,360336,HLTH,18,0,Gaston County Schools
8717,360336,MANU,7,0,Gaston County Schools
8768,360360,AAVC,4,0,Gaston County Schools
8769,360360,ARCH,18,0,Gaston County Schools
8770,360360,BMA,5,0,Gaston County Schools
8771,360360,HLTH,21,0,Gaston County Schools
8772,360360,HUMA,18,0,Gaston County Schools
8773,360360,LAW,16,0,Gaston County Schools
8774,360360,MANU,2,0,Gaston County Schools
8828,360378,AAVC,17,0,Gaston County Schools
8829,360378,BMA,17,0,Gaston County Schools
8830,360378,HLTH,21,0,Gaston County Schools
8831,360378,HOSP,8,0,Gaston County Schools
8832,360378,HUMA,2,0,Gaston County Schools
8833,360378,LAW,8,0,Gaston County Schools
8834,360378,MANU,17,0,Gaston County Schools
8835,360378,STEM,21,0,Gaston County Schools
8882,360390,ARCH,14,0,Gaston County Schools
8883,360390,HLTH,17,0,Gaston County Schools
8884,360390,HUMA,44,0,Gaston County Schools
8885,360390,TRAN,6,0,Gaston County Schools
8931,360396,ARCH,4,0,Gaston County Schools
8932,360396,HLTH,18,0,Gaston County Schools
8933,360396,HUMA,43,0,Gaston County Schools
8934,360396,MANU,1,0,Gaston County Schools
8982,360418,AAVC,19,0,Gaston County Schools
8983,360418,BMA,100,0,Gaston County Schools
8984,360418,FINA,22,0,Gaston County Schools
8985,360418,HLTH,42,0,Gaston County Schools
8986,360418,INFO,23,0,Gaston County Schools
8987,360418,LAW,5,0,Gaston County Schools
8988,360418,STEM,37,0,Gaston County Schools
9038,360428,AAVC,4,0,Gaston County Schools
9039,360428,ARCH,3,0,Gaston County Schools
9040,360428,HLTH,16,0,Gaston County Schools
9041,360428,HUMA,65,0,Gaston County Schools
9042,360428,LAW,32,0,Gaston County Schools
9043,360428,MANU,15,0,Gaston County Schools
9096,360470,AAVC,38,0,Gaston County Schools
9097,360470,ARCH,14,0,Gaston County Schools
9098,360470,HLTH,17,0,Gaston County Schools
9099,360470,HUMA,26,0,Gaston County Schools
9100,360470,TRAN,14,0,Gaston County Schools
9147,360494,AAVC,16,0,Gaston County Schools
9148,360494,ARCH,46,0,Gaston County Schools
9149,360494,HLTH,10,0,Gaston County Schools
9150,360494,HOSP,14,0,Gaston County Schools
9151,360494,HUMA,6,0,Gaston County Schools
9152,360494,INFO,1,0,Gaston County Schools
9153,360494,MANU,1,0,Gaston County Schools
9178,36B000,HLTH,6,1,Charter Schools
9207,36C000,AAVC,3,1,Charter Schools
9208,36C000,BMA,2,1,Charter Schools
9209,36C000,INFO,1,1,Charter Schools
9244,370312,AGNR,10,0,Gates County Schools
9245,370312,HLTH,12,0,Gates County Schools
9246,370312,HOSP,2,0,Gates County Schools
9247,370312,HUMA,24,0,Gates County Schools
9248,370312,MANU,1,0,Gates County Schools
9249,370312,STEM,16,0,Gates County Schools
9295,380308,ARCH,11,0,Graham County Schools
9296,380308,FINA,1,0,Graham County Schools
9297,380308,HLTH,13,0,Graham County Schools
9298,380308,HOSP,1,0,Graham County Schools
9299,380308,HUMA,2,0,Graham County Schools
9300,380308,TRAN,5,0,Graham County Schools
9344,390322,AAVC,33,0,Granville County Schools
9345,390322,AGNR,45,0,Granville County Schools
9346,390322,BMA,8,0,Granville County Schools
9347,390322,HUMA,9,0,Granville County Schools
9348,390322,STEM,13,0,Granville County Schools
9391,390324,AGNR,34,0,Granville County Schools
9392,390324,ARCH,10,0,Granville County Schools
9393,390324,BMA,2,0,Granville County Schools
9394,390324,HLTH,11,0,Granville County Schools
9395,390324,HOSP,8,0,Granville County Schools
9396,390324,HUMA,6,0,Granville County Schools
9397,390324,TRAN,4,0,Granville County Schools
9452,400308,AAVC,4,0,Greene County Schools
9453,400308,AGNR,10,0,Greene County Schools
9454,400308,ARCH,9,0,Greene County Schools
9455,400308,BMA,1,0,Greene County Schools
9456,400308,HLTH,26,0,Greene County Schools
9457,400308,HOSP,15,0,Greene County Schools
9458,400308,HUMA,8,0,Greene County Schools
9459,400308,MANU,10,0,Greene County Schools
9460,400308,STEM,1,0,Greene County Schools
9461,400308,TRAN,5,0,Greene County Schools
9516,410319,AAVC,16,1,Guilford County Schools
9517,410319,ARCH,10,1,Guilford County Schools
9518,410319,BMA,3,1,Guilford County Schools
9519,410319,HLTH,29,1,Guilford County Schools
9520,410319,HOSP,5,1,Guilford County Schools
9521,410319,HUMA,12,1,Guilford County Schools
9522,410319,INFO,4,1,Guilford County Schools
9523,410319,TRAN,28,1,Guilford County Schools
9574,410355,BMA,5,1,Guilford County Schools
9575,410355,HLTH,58,1,Guilford County Schools
9576,410355,HOSP,1,1,Guilford County Schools
9577,410355,HUMA,27,1,Guilford County Schools
9578,410355,STEM,68,1,Guilford County Schools
9579,410355,TRAN,10,1,Guilford County Schools
9639,410358,AAVC,41,1,Guilford County Schools
9640,410358,AGNR,7,1,Guilford County Schools
9641,410358,ARCH,23,1,Guilford County Schools
9642,410358,BMA,4,1,Guilford County Schools
9643,410358,FINA,15,1,Guilford County Schools
9644,410358,HLTH,20,1,Guilford County Schools
9645,410358,HOSP,2,1,Guilford County Schools
9646,410358,INFO,7,1,Guilford County Schools
9647,410358,LAW,1,1,Guilford County Schools
9648,410358,STEM,14,1,Guilford County Schools
9649,410358,TRAN,3,1,Guilford County Schools
9705,410394,AAVC,2,0,Guilford County Schools
9706,410394,ARCH,2,0,Guilford County Schools
9707,410394,HLTH,32,0,Guilford County Schools
9708,410394,HOSP,20,0,Guilford County Schools
9709,410394,HUMA,6,0,Guilford County Schools
9710,410394,TRAN,3,0,Guilford County Schools
9746,410399,ARCH,1,0,Guilford County Schools
9747,410399,BMA,2,0,Guilford County Schools
9748,410399,HLTH,1,0,Guilford County Schools
9749,410399,HUMA,1,0,Guilford County Schools
9784,410401,HUMA,1,0,Guilford County Schools
9785,410401,LAW,1,0,Guilford County Schools
9786,410401,TRAN,1,0,Guilford County Schools
9833,410406,AAVC,18,1,Guilford County Schools
9834,410406,ARCH,18,1,Guilford County Schools
9835,410406,BMA,19,1,Guilford County Schools
9836,410406,HOSP,9,1,Guilford County Schools
9837,410406,HUMA,21,1,Guilford County Schools
9838,410406,INFO,34,1,Guilford County Schools
9867,410407,INFO,7,1,Guilford County Schools
9891,410408,TRAN,1,0,Guilford County Schools
9914,410483,BMA,10,0,Guilford County Schools
9915,410483,INFO,14,0,Guilford County Schools
9964,410484,AAVC,1,1,Guilford County Schools
9965,410484,ARCH,1,1,Guilford County Schools
9966,410484,BMA,31,1,Guilford County Schools
9967,410484,HLTH,15,1,Guilford County Schools
9968,410484,HUMA,2,1,Guilford County Schools
9969,410484,INFO,5,1,Guilford County Schools
9970,410484,STEM,40,1,Guilford County Schools
9971,410484,TRAN,3,1,Guilford County Schools
10023,410489,AAVC,10,0,Guilford County Schools
10024,410489,AGNR,1,0,Guilford County Schools
10025,410489,ARCH,1,0,Guilford County Schools
10026,410489,FINA,10,0,Guilford County Schools
10027,410489,HLTH,23,0,Guilford County Schools
10028,410489,HUMA,11,0,Guilford County Schools
10029,410489,INFO,3,0,Guilford County Schools
10030,410489,LAW,21,0,Guilford County Schools
10031,410489,STEM,14,0,Guilford County Schools
10032,410489,TRAN,3,0,Guilford County Schools
10089,410490,AAVC,38,0,Guilford County Schools
10090,410490,HLTH,41,0,Guilford County Schools
10091,410490,HOSP,14,0,Guilford County Schools
10092,410490,HUMA,12,0,Guilford County Schools
10093,410490,INFO,2,0,Guilford County Schools
10094,410490,MANU,1,0,Guilford County Schools
10095,410490,STEM,38,0,Guilford County Schools
10096,410490,TRAN,1,0,Guilford County Schools
10150,410508,AAVC,11,0,Guilford County Schools
10151,410508,ARCH,32,0,Guilford County Schools
10152,410508,FINA,4,0,Guilford County Schools
10153,410508,HLTH,15,0,Guilford County Schools
10154,410508,TRAN,1,0,Guilford County Schools
10208,410529,AAVC,5,1,Guilford County Schools
10209,410529,ARCH,1,1,Guilford County Schools
10210,410529,BMA,7,1,Guilford County Schools
10211,410529,HLTH,33,1,Guilford County Schools
10212,410529,HOSP,46,1,Guilford County Schools
10213,410529,HUMA,13,1,Guilford County Schools
10214,410529,INFO,10,1,Guilford County Schools
10215,410529,STEM,78,1,Guilford County Schools
10216,410529,TRAN,1,1,Guilford County Schools
10279,410544,AAVC,19,1,Guilford County Schools
10280,410544,BMA,15,1,Guilford County Schools
10281,410544,EDUC,2,1,Guilford County Schools
10282,410544,HOSP,12,1,Guilford County Schools
10283,410544,HUMA,53,1,Guilford County Schools
10284,410544,INFO,9,1,Guilford County Schools
10285,410544,MANU,29,1,Guilford County Schools
10286,410544,MRKT,6,1,Guilford County Schools
10287,410544,STEM,92,1,Guilford County Schools
10288,410544,TRAN,1,1,Guilford County Schools
10325,410545,BMA,8,1,Guilford County Schools
10326,410545,HLTH,21,1,Guilford County Schools
10378,410547,AAVC,16,0,Guilford County Schools
10379,410547,AGNR,72,0,Guilford County Schools
10380,410547,ARCH,24,0,Guilford County Schools
10381,410547,BMA,5,0,Guilford County Schools
10382,410547,HLTH,36,0,Guilford County Schools
10383,410547,HOSP,24,0,Guilford County Schools
10384,410547,HUMA,17,0,Guilford County Schools
10385,410547,MANU,1,0,Guilford County Schools
10386,410547,STEM,24,0,Guilford County Schools
10387,410547,TRAN,4,0,Guilford County Schools
10446,410556,AAVC,12,1,Guilford County Schools
10447,410556,AGNR,30,1,Guilford County Schools
10448,410556,ARCH,2,1,Guilford County Schools
10449,410556,BMA,1,1,Guilford County Schools
10450,410556,HLTH,28,1,Guilford County Schools
10451,410556,HUMA,7,1,Guilford County Schools
10452,410556,INFO,1,1,Guilford County Schools
10453,410556,STEM,38,1,Guilford County Schools
10454,410556,TRAN,4,1,Guilford County Schools
10512,410562,AAVC,38,0,Guilford County Schools
10513,410562,ARCH,40,0,Guilford County Schools
10514,410562,BMA,1,0,Guilford County Schools
10515,410562,HLTH,56,0,Guilford County Schools
10516,410562,HOSP,8,0,Guilford County Schools
10517,410562,HUMA,11,0,Guilford County Schools
10518,410562,INFO,5,0,Guilford County Schools
10519,410562,STEM,28,0,Guilford County Schools
10570,410579,HLTH,25,0,Guilford County Schools
10615,410595,AAVC,11,0,Guilford County Schools
10616,410595,ARCH,2,0,Guilford County Schools
10617,410595,HLTH,23,0,Guilford County Schools
10618,410595,HOSP,2,0,Guilford County Schools
10619,410595,INFO,5,0,Guilford County Schools
10620,410595,MANU,1,0,Guilford County Schools
10621,410595,TRAN,22,0,Guilford County Schools
10663,420346,AGNR,14,1,Halifax County Schools
10696,420358,AGNR,17,1,Halifax County Schools
10697,420358,LAW,21,1,Halifax County Schools
10743,421316,ARCH,27,0,Roanoke Rapids City Schools
10744,421316,HLTH,31,0,Roanoke Rapids City Schools
10745,421316,HOSP,14,0,Roanoke Rapids City Schools
10746,421316,HUMA,11,0,Roanoke Rapids City Schools
10747,421316,LAW,38,0,Roanoke Rapids City Schools
10748,421316,TRAN,1,0,Roanoke Rapids City Schools
10772,422310,BMA,16,1,Weldon City Schools
10806,422315,AAVC,13,1,Weldon City Schools
10807,422315,BMA,7,1,Weldon City Schools
10808,422315,HUMA,13,1,Weldon City Schools
10809,422315,MANU,19,1,Weldon City Schools
10836,430345,AGNR,1,0,Harnett County Schools
10837,430345,ARCH,1,0,Harnett County Schools
10891,430346,AAVC,25,0,Harnett County Schools
10892,430346,AGNR,43,0,Harnett County Schools
10893,430346,ARCH,23,0,Harnett County Schools
10894,430346,BMA,1,0,Harnett County Schools
10895,430346,EDUC,9,0,Harnett County Schools
10896,430346,HLTH,33,0,Harnett County Schools
10897,430346,HUMA,53,0,Harnett County Schools
10898,430346,LAW,12,0,Harnett County Schools
10899,430346,MANU,29,0,Harnett County Schools
10900,430346,TRAN,6,0,Harnett County Schools
10961,430371,AAVC,34,0,Harnett County Schools
10962,430371,AGNR,63,0,Harnett County Schools
10963,430371,ARCH,39,0,Harnett County Schools
10964,430371,HLTH,42,0,Harnett County Schools
10965,430371,HOSP,19,0,Harnett County Schools
10966,430371,HUMA,1,0,Harnett County Schools
10967,430371,LAW,6,0,Harnett County Schools
10968,430371,TRAN,11,0,Harnett County Schools
11027,430378,AAVC,4,0,Harnett County Schools
11028,430378,AGNR,80,0,Harnett County Schools
11029,430378,ARCH,38,0,Harnett County Schools
11030,430378,HLTH,66,0,Harnett County Schools
11031,430378,HUMA,44,0,Harnett County Schools
11032,430378,INFO,8,0,Harnett County Schools
11033,430378,LAW,22,0,Harnett County Schools
11034,430378,TRAN,9,0,Harnett County Schools
11093,430384,AGNR,40,0,Harnett County Schools
11094,430384,ARCH,30,0,Harnett County Schools
11095,430384,BMA,1,0,Harnett County Schools
11096,430384,FINA,2,0,Harnett County Schools
11097,430384,HLTH,54,0,Harnett County Schools
11098,430384,HUMA,26,0,Harnett County Schools
11099,430384,INFO,3,0,Harnett County Schools
11100,430384,LAW,7,0,Harnett County Schools
11101,430384,MANU,11,0,Harnett County Schools
11102,430384,TRAN,6,0,Harnett County Schools
11145,440326,HLTH,1,0,Haywood County Schools
11146,440326,TRAN,1,0,Haywood County Schools
11199,440378,AAVC,10,0,Haywood County Schools
11200,440378,AGNR,32,0,Haywood County Schools
11201,440378,ARCH,18,0,Haywood County Schools
11202,440378,HLTH,25,0,Haywood County Schools
11203,440378,HOSP,16,0,Haywood County Schools
11204,440378,INFO,5,0,Haywood County Schools
11205,440378,MANU,70,0,Haywood County Schools
11206,440378,MRKT,5,0,Haywood County Schools
11207,440378,STEM,7,0,Haywood County Schools
11208,440378,TRAN,11,0,Haywood County Schools
11267,440390,AAVC,17,0,Haywood County Schools
11268,440390,AGNR,31,0,Haywood County Schools
11269,440390,ARCH,47,0,Haywood County Schools
11270,440390,HLTH,64,0,Haywood County Schools
11271,440390,INFO,10,0,Haywood County Schools
11272,440390,LAW,1,0,Haywood County Schools
11273,440390,MANU,19,0,Haywood County Schools
11274,440390,STEM,11,0,Haywood County Schools
11275,440390,TRAN,4,0,Haywood County Schools
11336,450316,AAVC,10,0,Henderson County Schools
11337,450316,AGNR,10,0,Henderson County Schools
11338,450316,ARCH,27,0,Henderson County Schools
11339,450316,BMA,5,0,Henderson County Schools
11340,450316,FINA,12,0,Henderson County Schools
11341,450316,HLTH,12,0,Henderson County Schools
11342,450316,HUMA,31,0,Henderson County Schools
11343,450316,INFO,1,0,Henderson County Schools
11344,450316,STEM,9,0,Henderson County Schools
11401,450334,AAVC,21,0,Henderson County Schools
11402,450334,ARCH,4,0,Henderson County Schools
11403,450334,HLTH,18,0,Henderson County Schools
11404,450334,HOSP,3,0,Henderson County Schools
11405,450334,HUMA,9,0,Henderson County Schools
11406,450334,INFO,1,0,Henderson County Schools
11407,450334,MANU,15,0,Henderson County Schools
11459,450341,AAVC,12,0,Henderson County Schools
11460,450341,AGNR,10,0,Henderson County Schools
11461,450341,ARCH,17,0,Henderson County Schools
11462,450341,HLTH,23,0,Henderson County Schools
11463,450341,HOSP,10,0,Henderson County Schools
11464,450341,HUMA,37,0,Henderson County Schools
11465,450341,INFO,1,0,Henderson County Schools
11466,450341,TRAN,9,0,Henderson County Schools
11517,450343,LAW,2,0,Henderson County Schools
11518,450343,MANU,7,0,Henderson County Schools
11575,450352,AAVC,31,0,Henderson County Schools
11576,450352,AGNR,18,0,Henderson County Schools
11577,450352,ARCH,48,0,Henderson County Schools
11578,450352,HLTH,18,0,Henderson County Schools
11579,450352,HOSP,23,0,Henderson County Schools
11580,450352,HUMA,31,0,Henderson County Schools
11581,450352,LAW,2,0,Henderson County Schools
11582,450352,MANU,13,0,Henderson County Schools
11583,450352,STEM,7,0,Henderson County Schools
11637,460320,AAVC,21,1,Hertford County Schools
11638,460320,AGNR,13,1,Hertford County Schools
11639,460320,BMA,13,1,Hertford County Schools
11640,460320,HLTH,34,1,Hertford County Schools
11641,460320,HOSP,32,1,Hertford County Schools
11642,460320,LAW,2,1,Hertford County Schools
11679,460340,BMA,16,1,Hertford County Schools
11680,460340,HLTH,30,1,Hertford County Schools
11737,470312,AAVC,6,0,Hoke County Schools
11738,470312,AGNR,22,0,Hoke County Schools
11739,470312,ARCH,2,0,Hoke County Schools
11740,470312,HLTH,39,0,Hoke County Schools
11741,470312,HOSP,3,0,Hoke County Schools
11742,470312,HUMA,47,0,Hoke County Schools
11743,470312,LAW,25,0,Hoke County Schools
11744,470312,TRAN,10,0,Hoke County Schools
11780,480316,ARCH,1,1,Hyde County Schools
11781,480316,FINA,3,1,Hyde County Schools
11808,480318,AGNR,2,1,Hyde County Schools
11809,480318,BMA,5,1,Hyde County Schools
11810,480318,HLTH,14,1,Hyde County Schools
11811,480318,INFO,5,1,Hyde County Schools
11852,490310,AAVC,1,0,Iredell-Statesville Schools
11853,490310,HOSP,1,0,Iredell-Statesville Schools
11854,490310,LAW,2,0,Iredell-Statesville Schools
11855,490310,TRAN,5,0,Iredell-Statesville Schools
11883,490320,AAVC,54,0,Iredell-Statesville Schools
11884,490320,BMA,1,0,Iredell-Statesville Schools
11885,490320,LAW,1,0,Iredell-Statesville Schools
11886,490320,MANU,1,0,Iredell-Statesville Schools
11887,490320,STEM,3,0,Iredell-Statesville Schools
11944,490335,AGNR,33,0,Iredell-Statesville Schools
11945,490335,ARCH,12,0,Iredell-Statesville Schools
11946,490335,BMA,1,0,Iredell-Statesville Schools
11947,490335,FINA,5,0,Iredell-Statesville Schools
11948,490335,HLTH,22,0,Iredell-Statesville Schools
11949,490335,HOSP,115,0,Iredell-Statesville Schools
11950,490335,HUMA,10,0,Iredell-Statesville Schools
11951,490335,INFO,4,0,Iredell-Statesville Schools
11952,490335,LAW,6,0,Iredell-Statesville Schools
11953,490335,MANU,7,0,Iredell-Statesville Schools
11954,490335,STEM,9,0,Iredell-Statesville Schools
11955,490335,TRAN,9,0,Iredell-Statesville Schools
12014,490346,AAVC,11,0,Iredell-Statesville Schools
12015,490346,AGNR,95,0,Iredell-Statesville Schools
12016,490346,ARCH,8,0,Iredell-Statesville Schools
12017,490346,HLTH,8,0,Iredell-Statesville Schools
12018,490346,HUMA,50,0,Iredell-Statesville Schools
12019,490346,INFO,2,0,Iredell-Statesville Schools
12020,490346,LAW,1,0,Iredell-Statesville Schools
12021,490346,STEM,8,0,Iredell-Statesville Schools
12022,490346,TRAN,1,0,Iredell-Statesville Schools
12084,490354,AGNR,26,0,Iredell-Statesville Schools
12085,490354,ARCH,23,0,Iredell-Statesville Schools
12086,490354,HLTH,52,0,Iredell-Statesville Schools
12087,490354,HOSP,1,0,Iredell-Statesville Schools
12088,490354,HUMA,40,0,Iredell-Statesville Schools
12089,490354,LAW,1,0,Iredell-Statesville Schools
12090,490354,MANU,2,0,Iredell-Statesville Schools
12091,490354,STEM,10,0,Iredell-Statesville Schools
12092,490354,TRAN,3,0,Iredell-Statesville Schools
12124,490355,BMA,1,0,Iredell-Statesville Schools
12125,490355,HUMA,1,0,Iredell-Statesville Schools
12177,490362,AGNR,29,0,Iredell-Statesville Schools
12178,490362,ARCH,14,0,Iredell-Statesville Schools
12179,490362,BMA,7,0,Iredell-Statesville Schools
12180,490362,FINA,2,0,Iredell-Statesville Schools
12181,490362,HLTH,37,0,Iredell-Statesville Schools
12182,490362,HOSP,24,0,Iredell-Statesville Schools
12183,490362,HUMA,44,0,Iredell-Statesville Schools
12184,490362,INFO,27,0,Iredell-Statesville Schools
12185,490362,LAW,2,0,Iredell-Statesville Schools
12186,490362,MANU,7,0,Iredell-Statesville Schools
12187,490362,STEM,12,0,Iredell-Statesville Schools
12188,490362,TRAN,7,0,Iredell-Statesville Schools
12249,490380,AGNR,26,0,Iredell-Statesville Schools
12250,490380,ARCH,1,0,Iredell-Statesville Schools
12251,490380,HLTH,31,0,Iredell-Statesville Schools
12252,490380,HOSP,1,0,Iredell-Statesville Schools
12253,490380,HUMA,47,0,Iredell-Statesville Schools
12254,490380,INFO,6,0,Iredell-Statesville Schools
12255,490380,LAW,2,0,Iredell-Statesville Schools
12256,490380,TRAN,12,0,Iredell-Statesville Schools
12313,491312,AAVC,13,0,Mooresville City Schools
12314,491312,ARCH,29,0,Mooresville City Schools
12315,491312,HLTH,44,0,Mooresville City Schools
12316,491312,HOSP,12,0,Mooresville City Schools
12317,491312,HUMA,63,0,Mooresville City Schools
12318,491312,INFO,1,0,Mooresville City Schools
12319,491312,STEM,10,0,Mooresville City Schools
12320,491312,TRAN,23,0,Mooresville City Schools
12355,500302,AGNR,11,0,Jackson County Schools
12356,500302,LAW,3,0,Jackson County Schools
12386,500323,BMA,1,0,Jackson County Schools
12387,500323,HOSP,1,0,Jackson County Schools
12388,500323,TRAN,1,0,Jackson County Schools
12417,500324,AGNR,1,0,Jackson County Schools
12418,500324,ARCH,1,0,Jackson County Schools
12419,500324,HUMA,1,0,Jackson County Schools
12476,500340,AGNR,4,0,Jackson County Schools
12477,500340,ARCH,1,0,Jackson County Schools
12478,500340,FINA,1,0,Jackson County Schools
12479,500340,HLTH,27,0,Jackson County Schools
